city,station_ids,station_names
Hubballi,"['site_1447', 'site_5680']","['Deshpande Nagar, Hubballi - KSPCB', 'Lingaraj Nagar, Hubballi - KSPCB']"
Salem,['site_5622'],"['Sona College of Technology, Salem - TNPCB']"
Vellore,['site_5615'],"['Vasanthapuram, Vellore - TNPCB']"
Chittoor,['site_5665'],"['Gangineni Cheruvu, Chittoor - APPCB']"
Rairangpur,['site_5672'],"['Divisional Forest Office, Rairangpur - OSPCB']"
Visakhapatnam,['site_260'],"['GVM Corporation, Visakhapatnam - APPCB']"
Bhiwadi,"['site_1391', 'site_5982']","['RIICO Ind. Area III, Bhiwadi - RSPCB', 'Vasundhara Nagar_UIT, Bhiwadi - RSPCB']"
Tensa,['site_5677'],"['Barsua Iron Ore Mines, Tensa - OSPCB']"
Silchar,['site_5684'],"['Tarapur, Silchar - PCBA']"
Milupara,['site_5691'],"['Govt. Higher Secondary School, Milupara - CECB']"
Bikaner,['site_5696'],"['MM Ground, Bikaner - RSPCB']"
Kashipur,['site_5704'],"['Govt. Girls Inter College, Kashipur - UKPCB']"
Banswara,['site_5711'],"['Rati Talai, Banswara - RSPCB']"
Sawai Madhopur,['site_5716'],"['Sahu Nagar, Sawai Madhopur - RSPCB']"
Karauli,['site_5723'],"['Satyawati Vihar, Karauli - RSPCB']"
Sivasagar,['site_5658'],"['Girls College, Sivasagar - PCBA']"
Nagaur,['site_5778'],"['Karni Colony, Nagaur - RSPCB']"
Latur,['site_5780'],"['Sawe Wadi, Latur - MPCB']"
Ahmednagar,['site_5785'],"['Tarakpur, Ahmednagar - MPCB']"
